,mean,sd,q5,q95
Mr. Rime,-0.04340212621021781,0.20665298036748447,-0.3812107594862536,0.2936261368566761
Politoed,-0.04388647771994407,0.10969766492420521,-0.22458608482520356,0.14765796121814295
Infernape,-0.04624950236624112,0.2038092933141519,-0.3816752385500311,0.30535268193604415
Houndoom,-0.050990766441221635,0.2362717841743697,-0.4258108046899699,0.3539553578466233
Aurorus,-0.05135046206803597,0.23830703907159476,-0.43950333929805824,0.32992677220861466
Emboar,-0.05202071816247848,0.20697251598266292,-0.41602336556683017,0.2792646742041599
Malamar,-0.05246757775428748,0.18128286906303107,-0.3471098804401395,0.2362106995407923
Toxicroak,-0.054660779623347595,0.22008614263484588,-0.4034448933001246,0.31207438252903114
Sylveon,-0.054667938343766834,0.06731850631148291,-0.16766400544343701,0.054449747906548975
Salazzle,-0.05601233169551685,0.24023617682388354,-0.4499239969881994,0.3416099911229613
Basculegion ♀,-0.05648730465996822,0.2008519343198146,-0.3822897708645996,0.2753200809135212
Slowking,-0.05698138093381155,0.21240778512880149,-0.39684385255488436,0.2950155405830945
Golurk,-0.05916429427705692,0.163647995405059,-0.32904154476895037,0.21963018115683441
Clefable,-0.05935237513722699,0.12267561068598226,-0.2613383971145275,0.15035123652160098
Umbreon,-0.06010964741570819,0.1817404559958277,-0.3631485274574934,0.24659731290274897
Chandelure,-0.06041878556644024,0.1435503850409771,-0.2988830338295922,0.16380102309871863
Aerodactyl,-0.06363463202397168,0.06334599453301784,-0.17049043181037654,0.034541613969449284
Lycanroc,-0.0645623965424797,0.20933692095720535,-0.4051165640417041,0.2865743347539228
Maushold,-0.06492889869337962,0.07434769164244705,-0.18534769845234883,0.06073915000761355
Quaquaval,-0.06495402024689095,0.2114197177969564,-0.4149378550406106,0.2779671128127019
Victreebel,-0.06564746673080352,0.21792752559067766,-0.4289814612997738,0.29886163722460746
Manectric,-0.06643058443999673,0.2121410460368844,-0.4094170008357669,0.27499288241892106
Hisuian Samurott,-0.06861131720470386,0.13800640333518446,-0.28242049337887226,0.15801085861732236
Ampharos,-0.06862704133868983,0.19159547945715139,-0.37423181519369564,0.24956980377990706
Conkeldurr,-0.06936495447094396,0.21805687338248284,-0.4423856574259565,0.28642320738144306
Glaceon,-0.07444684730664278,0.23810505422923342,-0.4639365486943254,0.3360528084273613
Skarmory,-0.0750141794190235,0.21141036072615255,-0.4135287218610569,0.2950014272972736
Absol,-0.07630385523750575,0.23458593508916173,-0.46260567545659803,0.3065719543550341
Alolan Ninetales,-0.07682055602099651,0.07416272392787059,-0.2011184318885053,0.04302225799784523
Vaporeon,-0.07757458971276465,0.21213945873677498,-0.41520154061074194,0.2748520836357824
Feraligatr,-0.07796202902309776,0.20271606506108256,-0.4128483447544491,0.2617847536662199
Gengar,-0.08078617810167427,0.09494522245495063,-0.23690076076941632,0.08011743753155467
Torkoal,-0.08345834408278431,0.07903406584644651,-0.2201749742409313,0.04902639354202082
Leafeon,-0.08460807776046732,0.2260104434973591,-0.4551601990416962,0.2825323416217822
Bellibolt,-0.08816860025528263,0.1851519926768878,-0.3935636358332961,0.22391104917052343
Heliolisk,-0.09267615263347936,0.1914044472682121,-0.40340174380362065,0.2293602547655446
Emolga,-0.09359823877776279,0.2454606375563928,-0.5129165478800769,0.309047791251099
Scolipede,-0.09674071191003027,0.200143571415466,-0.4319789013229835,0.21134798822793696
Steelix,-0.09916123234630224,0.1740684599316026,-0.36801808033558764,0.20010827142712165
Espathra,-0.10367164522258389,0.19264879694925766,-0.42297115657426565,0.20799095326049777
Frost Rotom,-0.10508828980307637,0.21950592642901362,-0.4672996218924142,0.25695480918238817
Alakazam,-0.10891719065162966,0.20063037659208444,-0.4246075744097544,0.23188071877912597
Paldean Tauros Aqua Breed,-0.11133237003463639,0.2065301031199982,-0.4622898969939966,0.24640729289559463
Mimikyu,-0.11215807712676279,0.173377817790543,-0.3953487598797748,0.17397845871239592
Sableye,-0.11256964974447672,0.08881007499472596,-0.26163231027116474,0.03696815779006089
Tinkaton,-0.11337391760136213,0.17059807142822217,-0.403101632192062,0.14828368597548486
Machamp,-0.11355630626328757,0.20737524938280713,-0.46170905059412354,0.2136337318388211
Runerigus,-0.11361383155132998,0.2195801304285313,-0.4748659764557973,0.25105953519178115
Hatterene,-0.1207918373129966,0.15182630208073672,-0.37174817547402067,0.13691940531838112
Vivillon,-0.1255844137571599,0.11693581754502193,-0.3262598774003788,0.05322305139616502
Jolteon,-0.1256498833545887,0.20269091627698277,-0.448568641901251,0.20389181760803127
Palafin,-0.12640567224044377,0.17237042000015587,-0.4066974367110054,0.1682510615398043
Meowstic,-0.13191269642978184,0.1864394778733651,-0.45613869627994824,0.17440950002716657
Arcanine,-0.13751179644041805,0.2358766169126234,-0.520475325003702,0.25492113644436204
Trevenant,-0.14087055828343847,0.21764889007638008,-0.4969177225999403,0.2239328332320138
Dragalge,-0.14127038118631116,0.153937696081829,-0.4009983480960762,0.106464773345369
Serperior,-0.15580359126569399,0.203846896574653,-0.5026183406274651,0.17966194084345039
Gliscor,-0.17036489796319818,0.20157726713141896,-0.4990324504145094,0.1461387395894763
Cofagrigus,-0.1795457277174868,0.2148110439877404,-0.5142265219457118,0.1851480821266539
Talonflame,-0.20349229066520258,0.08863457735784239,-0.34213496813155947,-0.05583763615515447
Ninetales,-0.22840687798352538,0.11911334404804828,-0.41569592653753273,-0.02855763196078511
Raichu,-0.24133132570343757,0.0646926027237162,-0.35183682012693573,-0.1346944910681903
Eelektross,-0.2660140122049556,0.1165595224523148,-0.45644926689149823,-0.07250820135942596
