species_1,species_2,n,mean,q5,q95,robust
Heat Rotom,Mawile,5,0.016315625208752644,-0.07044191691656691,0.11231568278453864,False
Corviknight,Houndstone,20,0.01630457560253077,-0.067792979990239,0.11059666353343643,False
Abomasnow,Mawile,8,0.016258680142674488,-0.07668825114743616,0.11607103157988567,False
Incineroar,Sinistcha,991,0.01620695382774128,-0.0374044915834798,0.07242186939742766,False
Gholdengo,Staraptor,165,0.01616785458031587,-0.06257155924384597,0.10251759799246667,False
Camerupt,Staraptor,9,0.01613138893187814,-0.056630035879034014,0.1045722159138549,False
Charizard,Floette,40,0.016123444006859337,-0.07278945717844755,0.1114826823016091,False
Aerodactyl,Kangaskhan,15,0.016122725835899465,-0.06889570872952382,0.10505612803514255,False
Dragonite,Raichu,16,0.016118969640923547,-0.057984160242861245,0.10836182518182257,False
Clefable,Gyarados,11,0.016095695692243707,-0.06883394610511133,0.1129690632592619,False
Hydreigon,Tsareena,6,0.01606381750861473,-0.07481870234637601,0.12197241347968828,False
Tsareena,Whimsicott,26,0.01595972067613978,-0.06022153871562747,0.09783633907802622,False
Blaziken,Incineroar,36,0.015912988581162094,-0.037769450865756386,0.07631790068045542,False
Dragonite,Torkoal,10,0.015910536414596877,-0.062021673310966814,0.10422248141964227,False
Primarina,Sneasler,16,0.01589117352804922,-0.0763509144539268,0.10787214378281855,False
Annihilape,Archaludon,11,0.015879758387036872,-0.08995424684308666,0.1247741928613686,False
Pelipper,Pikachu,5,0.01582978843776319,-0.07769648824453991,0.11478130858867923,False
Gholdengo,Starmie,8,0.015787071949334514,-0.09323868936756384,0.13264908753217536,False
Annihilape,Pyroar,9,0.015557033076400719,-0.08211154668316668,0.12061659530903912,False
Hatterene,Sinistcha,6,0.015554052339122725,-0.09583785687548758,0.12918992474613025,False
Sableye,Staraptor,24,0.015524970877707227,-0.06480237318313198,0.1032944447937219,False
Maushold,Swampert,58,0.015470550309277882,-0.06418003387082977,0.10237964361011101,False
Incineroar,Kingambit,449,0.015358871105952288,-0.03911780802624836,0.07188533878366495,False
Incineroar,Primarina,34,0.015312219820213557,-0.035953711747893864,0.07621525669752674,False
Delphox,Milotic,10,0.015255468583418624,-0.06987003253572124,0.11205136046021975,False
Charizard,Pelipper,32,0.015231236395374794,-0.0752189583407844,0.10765477174840199,False
Basculegion,Wash Rotom,14,0.015213913211752228,-0.04981340104437446,0.09022962913544667,False
Blaziken,Whimsicott,72,0.01519894907584457,-0.05865648873709993,0.0927238815057788,False
Gallade,Scrafty,6,0.015180429901513191,-0.07285147348308604,0.1092801833914068,False
Scovillain,Whimsicott,15,0.015155060974012709,-0.06292629667271239,0.10068015029416193,False
Araquanid,Garchomp,6,0.014966660415552875,-0.06961984241093293,0.10951384372864546,False
Delphox,Maushold,115,0.014946040303682346,-0.06051557769484507,0.10840202212036452,False
Sneasler,Tsareena,17,0.014935332352991926,-0.07944063823724398,0.11021827549345488,False
Hisuian Arcanine,Sinistcha,6,0.014932179351780348,-0.09703534766667722,0.12827996915868162,False
Gardevoir,Milotic,10,0.014926444834041253,-0.06900392294115201,0.10757866125537136,False
Incineroar,Tyranitar,75,0.01488026740211958,-0.04074520854853703,0.07948296095471873,False
Lopunny,Tyranitar,5,0.014835086156708284,-0.0826046602710498,0.12605179223659377,False
Basculegion,Scrafty,21,0.01478085332275997,-0.044839535420903125,0.08186886934161154,False
Floette,Milotic,9,0.014710194986469255,-0.06806074687453412,0.10559000864189072,False
Gholdengo,Lycanroc Dusk,5,0.014706318035985953,-0.08459909872521937,0.11973834073926488,False
Corviknight,Sneasler,22,0.01467320962462673,-0.07584390877655897,0.1080911592768651,False
Aerodactyl,Raichu,34,0.014648778667241465,-0.06245136990485046,0.09727560144562693,False
Hisuian Samurott,Talonflame,9,0.014587648820315921,-0.06755369837915877,0.11448724669900918,False
Gardevoir,Tyranitar,8,0.01458543675878473,-0.08187009575931549,0.11747731268522545,False
Lycanroc Dusk,Whimsicott,8,0.01453354806224021,-0.06280481509535651,0.09516784378156151,False
