,mean,sd,q5,q95
Screech,0.01761375208764307,0.21587259611026582,-0.32865346557691405,0.3837397827531259
Submission,0.017279035737671634,0.23157881677261188,-0.36485513417724674,0.37914198732935744
Calm Mind,0.01672925182481551,0.05998258127255601,-0.08344637559507571,0.11509222897873572
Eerie Spell,0.015275795188121766,0.22703360626865768,-0.33858277749914095,0.3882748598818487
Magic Powder,0.014962058326205428,0.21197535412049426,-0.3162306513816512,0.35016492113703296
Dual Chop,0.014907122732922655,0.21153255024877232,-0.3379431178240362,0.36094774511892147
Close Combat,0.014574253062659187,0.038671655008430256,-0.04873220672221437,0.07900857253784428
Mach Punch,0.014326137175576842,0.18254966839743855,-0.29396216231944117,0.31110754453784684
Fake Tears,0.013613340356137416,0.08937394107769868,-0.13340730851775706,0.15524254147027508
Dragon Cheer,0.013024295527063643,0.216781978633742,-0.315779001240341,0.37189285416743156
Cross Chop,0.011665558976391823,0.2100279208965506,-0.3173856706125801,0.35366141616789065
Scorching Sands,0.011533880277748492,0.1602620891539604,-0.2674230014294724,0.2609320234651569
Cosmic Power,0.00987659448398372,0.2228825951666238,-0.37135748173934663,0.3632905381890253
Feather Dance,0.009538560030550734,0.2074952162444151,-0.33558197553118313,0.33674772219277305
Fickle Beam,0.009365108021022812,0.18346523004118995,-0.2968171235194652,0.3145904112589571
Sandstorm,0.008530845826816603,0.18226459940315773,-0.27875149959967616,0.31302812370133926
Wave Crash,0.008163554983752173,0.052355091257172526,-0.07747380946120794,0.09220480913909257
Reversal,0.007621836974093537,0.21716808801691725,-0.36516777807526296,0.3597105322677177
Thunder Punch,0.007381647027217878,0.12016566818097352,-0.19173440752682055,0.2077091829352105
Cotton Spore,0.006989539384700132,0.21191825351591267,-0.3462609583737613,0.33764472173673943
Chilly Reception,0.005116669870302149,0.2170024843065244,-0.34903014032785123,0.35006719567046213
Stun Spore,0.004414740744799717,0.22545511694077677,-0.35879371932662374,0.3794769954144405
Rage Fist,0.003714214782995107,0.0999354680636621,-0.17308804219426668,0.16253147577722468
Grav Apple,0.0035979136569046634,0.234839661122301,-0.38340173694950586,0.4051750757838779
Bug Buzz,0.0030010387062595987,0.19645032094194406,-0.3086028428481099,0.3328339664598763
Lava Plume,0.002662449957720575,0.2148720072464307,-0.35996249037685873,0.33940838195428247
Nuzzle,0.002501240796752813,0.17024654286913626,-0.2843047895698491,0.2617609482630141
Defog,0.002094006073359697,0.22758691646921567,-0.36485457781083735,0.3692837677195138
Earthquake,0.0018735958286587914,0.041618378509052936,-0.06711435894390538,0.06886149000543701
String Shot,0.0005844772846202639,0.21800550851764666,-0.3637958226565075,0.3696123765418917
Storm Throw,0.0004039896607632454,0.207880853504271,-0.34675644676292616,0.3491441487401629
Thunder Fang,-0.00022661584139804263,0.20883837790694093,-0.3362189516692154,0.35160336498125444
Thrash,-0.0002916559376348002,0.2223844398588153,-0.35587470736531734,0.35622084379857405
Earth Power,-0.0005350235797950031,0.04201083620654582,-0.0673031523594251,0.07170972287576155
Petal Blizzard,-0.0006217482466974822,0.22825263243250452,-0.36431116563932153,0.39312649548677553
Ice Ball,-0.0010705362683888946,0.22762206506912727,-0.3384090306479075,0.39141322595308214
Electro Ball,-0.0012938571173455355,0.21783241035602727,-0.3572743978182567,0.3588201798627907
Leaf Blade,-0.001385812590463792,0.12488222158094996,-0.20565666750080278,0.2016249612852466
Moongeist Beam,-0.001470921209274428,0.21026567477070363,-0.36227052083983785,0.33437834799364047
Stone Axe,-0.0019423067771953061,0.18063615856985107,-0.30294993595455344,0.2746069825988337
Comeuppance,-0.001974568237980387,0.2256050562397869,-0.36111521161736315,0.3734766372604636
Lash Out,-0.002046537218090092,0.19586524486595,-0.3298087249160048,0.30827249331109724
Stored Power,-0.0031725546503011026,0.18463488455963933,-0.3236344390403243,0.315802876942695
Destiny Bond,-0.003184444129254136,0.16996586937985386,-0.27233033362227,0.25680650181050774
Syrup Bomb,-0.0033732824091175263,0.2202017754255464,-0.3543878477279424,0.3731995587334648
Strength Sap,-0.0036632261299907294,0.08768067206717518,-0.1418399415369702,0.13156705710046648
Bone Rush,-0.0037113389936957327,0.2273134470139088,-0.3853619263365971,0.3697528202513119
Teeter Dance,-0.00408894639009216,0.22298724769099054,-0.3726620137345571,0.37117955602722835
Future Sight,-0.004878068781088658,0.2314346790233455,-0.39744768475609654,0.3856051581163455
Ceaseless Edge,-0.005070337775788143,0.15638914534803103,-0.2601941977381273,0.23631133509546726
Population Bomb,-0.005405702372904655,0.11555908652498317,-0.19457817082256304,0.18284162419972916
Fire Punch,-0.0058459005323595005,0.16546788119422073,-0.26317847560513974,0.2645771480492193
Volt Tackle,-0.006026392035385558,0.13445894143773873,-0.21290825515251227,0.23256888441468992
Sand Tomb,-0.006323971398737322,0.2289086443780976,-0.3844163016294765,0.37348636027173143
Agility,-0.007015604991348088,0.22629315879595766,-0.39636172439240935,0.3457420774476901
Assurance,-0.008095613190469458,0.2074616531044576,-0.35358995618282607,0.3363195872824828
Stealth Rock,-0.008305631164614795,0.17162521331349853,-0.30199677888618065,0.26478684877128805
Recycle,-0.008571776944571558,0.2078146422200927,-0.3469737728476433,0.3429734515221497
Explosion,-0.008699761128151774,0.22118485498138793,-0.3581707455941935,0.34604712988516184
Aura Wheel,-0.008883462603849012,0.19296127745742084,-0.32153047080064023,0.3122315521319843
Sing,-0.008958318345721392,0.2265257834978127,-0.3796545117559601,0.37547162473226237
Matcha Gotcha,-0.009064244575403668,0.06109874626798589,-0.10561815235319924,0.0947822507958279
Horn Drill,-0.009278681207185464,0.23126883811176657,-0.3753253083438166,0.37340399125904666
Shed Tail,-0.009469720379953476,0.1915433193776395,-0.3468825225034845,0.2959138437960896
Charge Beam,-0.010169027780437427,0.2203794245358572,-0.3761653880346091,0.3458368311800824
Power Trip,-0.010401055639403045,0.23548066940174633,-0.3936068983516128,0.3736376555662567
Hurricane,-0.010619228566591577,0.07832938296692461,-0.13917969900018812,0.12049357247041856
Smack Down,-0.010935560650974212,0.20697610732107302,-0.3333672648325068,0.32600670063511716
Horn Leech,-0.011013881603784977,0.22059684173241068,-0.3731186094470518,0.3436340574751659
Electric Terrain,-0.011322224492209616,0.21092169516132264,-0.36532372692087994,0.33545397936633575
Double Team,-0.011366506418757054,0.21935424679322502,-0.37317178253990135,0.34118790075799355
Steel Beam,-0.011611419751654606,0.21224972033238507,-0.3597849831774356,0.33404531535589627
Apple Acid,-0.011793603161513361,0.20029372159353465,-0.33265695630606157,0.3435686663989719
Fire Spin,-0.011833161160485934,0.20786009491909713,-0.36001165510695904,0.3372345819867758
Boomburst,-0.012051046523581084,0.2097472622170626,-0.34802321922277224,0.3305614245553974
Vacuum Wave,-0.012391316381333293,0.16229148355738265,-0.27480673016920554,0.26317342826042167
Sleep Talk,-0.01282762252017854,0.21644516907257724,-0.37898135423789553,0.35257806452740315
Infernal Parade,-0.013165761170337293,0.2141581333061777,-0.3588946344549274,0.3425487653978144
Night Shade,-0.013421307594418407,0.20637419697563036,-0.3576691506153939,0.324814778519707
Dark Pulse,-0.013820199984289008,0.05580175075528235,-0.10534831831440916,0.07632170009009766
Psyshield Bash,-0.013912676890987305,0.20573591330201324,-0.36086191932955747,0.33197543906380167
King’s Shield,-0.014023788894477952,0.14682060066136055,-0.24111247283974363,0.23420712780636055
Giga Impact,-0.014408574049955249,0.21997287950404082,-0.380032778062656,0.3474199385133626
Steel Wing,-0.016157135299194138,0.1982073937363143,-0.35090300292140825,0.30409350622838976
Rock Slide,-0.016161216932012678,0.041177476507717865,-0.08320027772631908,0.05292169193080189
High Horsepower,-0.01804765014837782,0.0694798653451543,-0.12945254724865968,0.09586366546686921
Endure,-0.018165464124809797,0.22083167992697314,-0.3939639251884557,0.3287900715161737
Flame Charge,-0.018703381267428588,0.20109556218145214,-0.35125129920158177,0.30612836978093877
Whirlpool,-0.018850948779269877,0.20042240997112554,-0.338598423412387,0.31075596569513303
Night Slash,-0.01904750819364216,0.15609736568652474,-0.27994926702721373,0.23544106721523975
Drill Peck,-0.019255176079132984,0.21606554946652906,-0.38707585390067406,0.30933514435486154
Scary Face,-0.019404630259258034,0.12744931164014356,-0.21718676306158677,0.19562339898783776
Pin Missile,-0.019707035279588288,0.19709193973262246,-0.3301690780860429,0.3063260783561736
